Volt;Corrente;Ora;Data;Coordinate
5.06;26.47;13:32:4;29/8/22;45.6043536,13.7328641
4.64;20.20;13:33:59;29/8/22;45.6043536,13.7328641
2.13;11.31;13:35:57;29/8/22;45.6043536,13.7328641
2.34;11.79;13:37:49;29/8/22;45.6043536,13.7328641
2.22;8.18;13:39:48;29/8/22;45.6043536,13.7328641
1.46;4.98;13:41:48;29/8/22;45.6043536,13.7328641
1.43;6.37;13:43:48;29/8/22;45.6043536,13.7328641
1.72;5.70;13:45:46;29/8/22;45.6043536,13.7328641
3.11;16.84;13:47:46;29/8/22;45.6043536,13.7328641
3.31;16.42;13:49:40;29/8/22;45.6043536,13.7328641
3.60;14.33;13:51:34;29/8/22;45.6043536,13.7328641
4.15;18.55;13:53:34;29/8/22;45.6043536,13.7328641
4.11;19.51;13:55:31;29/8/22;45.6043536,13.7328641
4.44;20.23;13:57:28;29/8/22;45.6043536,13.7328641
4.23;17.26;13:59:25;29/8/22;45.6043536,13.7328641
4.22;18.70;14:1:23;29/8/22;45.6043536,13.7328641
4.54;20.47;14:3:17;29/8/22;45.6043536,13.7328641
4.86;19.84;14:5:13;29/8/22;45.6043536,13.7328641
4.94;21.19;14:7:8;29/8/22;45.6043536,13.7328641
4.94;19.47;14:9:4;29/8/22;45.6043536,13.7328641
4.91;18.56;14:10:58;29/8/22;45.6043536,13.7328641
4.92;20.21;14:12:49;29/8/22;45.6043536,13.7328641
4.90;19.29;14:14:45;29/8/22;45.6043536,13.7328641
4.94;18.13;14:16:45;29/8/22;45.6043536,13.7328641
4.92;21.96;14:18:39;29/8/22;45.6043536,13.7328641
4.93;19.46;14:20:33;29/8/22;45.6043536,13.7328641
4.90;19.88;14:22:30;29/8/22;45.6043536,13.7328641
4.98;18.82;14:24:22;29/8/22;45.6043536,13.7328641
4.92;20.14;14:26:16;29/8/22;45.6043536,13.7328641
4.96;18.94;14:28:15;29/8/22;45.6043536,13.7328641
4.92;19.46;14:30:15;29/8/22;45.6043536,13.7328641
4.92;19.39;14:32:11;29/8/22;45.6043536,13.7328641
4.95;21.32;14:34:4;29/8/22;45.6043536,13.7328641
4.99;17.26;14:36:4;29/8/22;45.6043536,13.7328641
4.96;21.28;14:38:2;29/8/22;45.6043536,13.7328641
4.99;18.26;14:39:58;29/8/22;45.6043536,13.7328641
4.91;16.95;14:41:51;29/8/22;45.6043536,13.7328641
4.93;21.68;14:43:45;29/8/22;45.6043536,13.7328641
4.94;17.76;14:45:44;29/8/22;45.6043536,13.7328641
4.93;19.57;14:47:35;29/8/22;45.6043536,13.7328641
4.91;17.39;14:49:28;29/8/22;45.6043536,13.7328641
4.98;16.10;14:51:22;29/8/22;45.6043536,13.7328641
4.93;20.85;14:53:23;29/8/22;45.6043536,13.7328641
4.92;21.80;14:55:21;29/8/22;45.6043536,13.7328641
4.97;21.82;14:57:19;29/8/22;45.6043536,13.7328641
4.97;18.51;14:59:11;29/8/22;45.6043536,13.7328641
4.93;19.25;15:1:11;29/8/22;45.6043536,13.7328641
4.92;17.11;15:3:2;29/8/22;45.6043536,13.7328641
4.96;19.13;15:4:57;29/8/22;45.6043536,13.7328641
4.96;20.97;15:6:56;29/8/22;45.6043536,13.7328641
4.93;19.52;15:8:50;29/8/22;45.6043536,13.7328641
4.96;16.14;15:10:50;29/8/22;45.6043536,13.7328641
4.97;16.82;15:12:45;29/8/22;45.6043536,13.7328641
4.96;20.24;15:14:36;29/8/22;45.6043536,13.7328641
4.95;20.49;15:16:35;29/8/22;45.6043536,13.7328641
4.99;18.10;15:18:30;29/8/22;45.6043536,13.7328641
4.91;17.34;15:20:24;29/8/22;45.6043536,13.7328641
4.91;16.71;15:22:15;29/8/22;45.6043536,13.7328641
4.96;16.79;15:24:6;29/8/22;45.6043536,13.7328641
4.91;20.19;15:26:5;29/8/22;45.6043536,13.7328641
4.98;17.46;15:28:2;29/8/22;45.6043536,13.7328641
4.99;20.83;15:29:54;29/8/22;45.6043536,13.7328641
